chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,harmony,perceptr,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.2517731,0.058552343,1587.0690578836516,2172.577647315907,3521.9703697936825,0.06627737700754643,-1.553415e-10,-1.0396016e-06,[95.703125],-300.8566,101.002686,39.29904,37.492805,18.513878,22.38332,4.0861053,8.793512,7.249815,5.1118207,-5.3469157,-2.5606232,-13.654838,0.5610847,-2.7670825,-1.4001533,4.0395374,8.986716,2.4939651,-4.1008244,1
0.3197154,0.094749905,2292.9885968312933,2437.6715278749225,4859.878946310227,0.08968615458107586,-1.0256115e-06,-1.6105698e-05,[117.45383523],-234.07065,71.57099,19.114693,37.678574,8.024533,19.684364,-5.732502,2.4300976,-8.451917,-1.3060156,-2.3574743,-3.651953,-9.471214,-1.8184202,-5.241385,-3.6567724,-4.525869,-3.6424232,-3.0319154,-9.523811,1
0.40973127,0.14538126,2243.0552310129124,2467.127334357152,4729.0880705180925,0.10344533064047988,-3.5019912e-06,-0.00023156445,[92.28515625],-112.69139,93.57942,-3.4242477,18.306885,1.129724,-0.33312157,6.848252,0.17905976,-9.218336,9.233198,-5.5253844,5.009213,-4.3910627,-0.56926876,-3.5934587,0.47938216,-1.5777663,2.792757,-4.7552624,-0.5737692,1
0.3192291,0.15558276,2039.6284849897593,2200.4165644842874,4146.724925321691,0.07528147977941177,1.4607206e-06,4.055013e-05,[161.49902344],-216.23558,76.35808,11.111646,17.543596,2.5092955,-0.29837576,-4.9836464,-0.38708252,3.7953734,4.8851457,-0.80730313,2.7362552,-2.1559956,-3.836323,-5.7755,1.071553,0.97820884,0.5044028,-1.659752,0.4102504,1
0.210206,0.14459527,1374.2866973476598,2032.8385344006615,2607.7258981049245,0.04396496468653251,-7.223856e-05,-3.8397822e-05,[172.265625],-222.24893,120.971794,14.560625,-4.612266,-0.98732007,-7.8738184,-17.56516,-10.748679,-20.773014,-5.1633377,-11.961795,-9.683942,-15.126336,-6.0213065,-9.826516,-5.145596,-3.5345573,-1.2459095,-6.0188036,-0.14250727,1
0.25378233,0.09628811,1531.0573810915741,1906.463090285729,3268.4219029665733,0.06572635993130804,-3.5469627e-06,-4.105814e-06,[161.49902344],-226.01079,116.529434,12.058756,26.853283,4.752541,5.5559564,6.838741,8.268931,-0.6948363,-4.614861,-10.731828,-8.995887,-8.2779665,-1.4694201,-2.4446871,-0.3559367,-4.927546,-3.0066364,-4.9766674,-2.1306162,1
0.31798738,0.1115059,2769.0878297387417,3007.3069512048633,6645.626481472524,0.10091057650445047,-4.4253266e-06,-3.8435224e-05,[92.28515625],-147.3584,76.553505,19.018597,7.3568196,17.163614,6.0176363,-3.2454655,8.596029,-4.8325725,5.317457,1.3342615,2.205177,-1.0632808,0.038977843,-6.7188377,-2.645737,-11.754996,-9.768682,-14.0659895,-7.326772,1
0.34688085,0.115439445,1810.026909982697,2113.7738719798904,3824.626873004547,0.07770890274284056,1.6864908e-06,0.0002261797,[123.046875],-179.89595,114.25754,6.019751,24.567408,6.3589215,7.257173,-2.184969,0.20545076,0.38568485,-0.14250183,-4.830092,-4.513025,-3.0590844,-1.7554619,-2.5468898,0.5583467,-1.2658621,-1.2568812,-4.325526,-1.9522656,1
0.19534446,0.12382479,1235.7853319501899,1535.6370108977096,2201.111690178744,0.0626020401993034,-1.4219537e-05,-6.462833e-05,[151.99908088],-267.8508,118.16115,8.784482,-0.9015195,-3.3931699,-2.328554,4.059772,0.39869675,-16.82383,-1.3265679,-3.5102746,7.462335,-6.9478717,-7.4892216,-5.027959,-2.6649601,-3.839088,1.7613822,-6.3186555,0.39506376,1
0.19621493,0.033327002,812.9479344312068,824.3267544890069,1317.6503656818402,0.06029933303502322,-2.7867322e-06,-9.913967e-06,[103.359375],-429.13303,136.29129,28.4055,-10.886424,-2.0566783,3.0760357,3.3251495,-3.30393,-8.436655,-1.0728843,8.092437,8.638994,-2.2223573,-10.631858,-6.6646204,-2.2064414,-3.8723235,-5.655577,-6.7595706,-4.206448,1
0.41968712,0.07943721,1800.632241115818,2209.012302733606,3739.89405203899,0.07561934621710527,1.11194895e-05,1.5331481e-05,[107.66601562],-220.7738,114.759964,3.770801,8.374964,-8.71951,2.3048205,11.11379,3.6530452,-11.962686,5.2081227,7.219589,12.440514,0.27038044,-4.912487,0.28682727,-2.808423,-5.7850494,-1.5303742,-1.0099194,-4.7643147,1
0.26465908,0.08492202,1251.626039021641,1661.883117533167,2500.018216065209,0.057352260908475235,-2.7568572e-06,3.6353329e-06,[184.5703125],-259.71213,125.06744,9.502387,23.282383,8.491517,5.172712,10.031746,-3.3852298,-16.194027,-14.002469,-8.192,-0.3208023,-4.36645,-2.552907,-0.6218591,-3.621743,-6.2833214,-5.574714,-4.8078313,1.105933,1
0.29872054,0.16899826,1457.4160538288097,2220.205372469353,3071.5730932843944,0.04001600897349071,-8.952659e-07,-1.717599e-05,[117.45383523],-171.8623,126.619156,23.72723,17.772846,11.628594,4.3150992,18.85687,4.699409,-2.5287576,4.8564262,-10.588911,1.4227083,-4.7268186,2.0398524,-0.94459367,-5.015076,-5.543214,-2.6116679,-0.7201853,4.2615085,1
0.20472762,0.118171245,970.3482399848175,1553.2232603983032,1675.8315331426568,0.0315451607246517,-3.281541e-06,-6.074522e-06,[161.49902344],-290.12875,125.89307,49.92539,29.126137,-1.5246902,-9.637778,-4.5058255,-10.13452,-31.578487,-1.9469417,-4.9896517,-5.6956553,-14.909736,-16.492544,-11.882,-6.9331884,-5.91197,-5.7649136,-10.856969,-8.592889,1
0.3195111,0.18621498,1860.2366998746816,2289.691273375235,4160.341509650735,0.07441678357198142,-2.7240962e-05,-9.856713e-05,[92.28515625],-84.76027,110.03243,10.12951,32.277786,1.3589121,11.81283,0.21305053,4.61148,-5.3628526,2.16833,0.16828717,4.1164026,0.9022209,6.2054353,0.14292228,1.6208599,-3.5012085,2.1654513,-2.37459,3.7428164,1
0.31990355,0.10550526,1388.6436622605988,1986.5803166624078,2834.6578592117357,0.04737499697658669,3.5211601e-06,3.6836514e-05,[99.38401442],-228.80704,122.16458,22.721535,35.742123,17.279497,9.782431,-1.8989849,6.146272,-10.838102,-0.37060812,0.33954164,-6.9129477,1.8954858,1.684478,-2.1196804,-0.5179794,-6.7085533,-3.2678933,-5.5551014,-2.0892425,1
0.44574437,0.018577676,3381.8938088386217,2581.2306744051893,6184.095938951238,0.17835190716911764,0.0006746638,6.5722415e-05,[161.49902344],-384.32117,24.916437,-22.129185,7.208834,10.260677,9.846158,3.0746837,10.825487,10.427184,11.794956,9.625063,10.089263,6.696729,2.6150155,1.3537232,5.5883183,2.2358606,2.954389,1.3265619,1.9673337,1
0.25113374,0.16035616,2038.5214762234975,2292.2213693401854,4584.738943377515,0.08168658088235294,-1.0484869e-05,0.00014847414,[161.49902344],-211.96548,71.72419,2.7175171,-14.501222,-16.04218,-14.232948,-11.830772,-19.569166,-16.160625,-8.142159,2.8115158,17.517378,13.907699,7.3041115,-3.2212179,-8.698568,-4.7966995,-0.7247407,-3.9846773,-4.99826,1
0.24094954,0.12132784,2451.824408140463,2469.0852289291092,5292.209665398848,0.10551183363970588,-8.629429e-06,-2.3459625e-06,[75.99954044],-153.28464,68.55779,-9.664549,4.6140947,-13.530235,-0.6023248,-5.992376,-4.418826,-11.2269945,-1.9480633,-2.4489527,5.9849463,-1.6368155,-4.437589,-14.322056,-7.835459,-11.903003,-2.5484843,-7.83767,-8.232414,1
0.20615797,0.20833184,1860.1704032447424,2263.717023378348,4052.050497805002,0.05853479344040248,-3.2130445e-06,-3.123163e-06,[123.046875],-137.99869,86.97754,5.152576,18.61,-2.2399504,-8.600907,-25.528831,-4.011512,-16.225042,-10.803824,-10.6717,-10.337073,-11.203997,1.5951017,-7.8331327,-9.508513,-10.349651,-6.7294946,-15.209136,-5.8037367,1
0.22251815,0.063080154,1173.0702598074981,1376.392792825756,1740.5478084788604,0.08032453318498452,4.5615657e-06,-8.273084e-06,[107.66601562],-319.88885,117.519424,5.549828,13.547009,18.14957,18.24476,-1.5959169,-20.123941,-14.434805,-11.652912,-16.77601,-19.240881,-11.4245,-6.0265665,-12.502179,-17.122028,-17.426945,-4.5910606,5.898714,1.9841921,1
0.32070467,0.11575055,1003.1592339909914,1375.2598741188456,1888.03858328899,0.04961799172794118,-4.8581816e-05,4.7080375e-05,[107.66601562],-249.93217,149.06107,4.521505,25.273003,16.690935,11.897512,-4.8740716,-6.936477,4.5892406,3.1995268,-0.7408631,0.8460816,-0.9337284,-1.2174258,-2.1407187,0.67465997,0.058469128,0.43581033,-2.8388822,3.1660097,1
0.40682113,0.1435896,1701.0316768526698,2129.5024664073962,3557.636820790199,0.062490551833397835,-1.6482386e-06,0.00010249452,[103.359375],-215.74286,95.586235,11.191506,27.323103,16.044765,7.4970107,1.7761935,6.2935085,-0.66488016,1.406278,-0.5795156,6.560583,-0.46134546,0.8888019,0.12740164,1.2729537,-2.3700204,-0.44970003,-3.4633796,0.029946152,1
0.41664705,0.17740454,1307.0535711884545,1795.2137117041966,2599.4259482935854,0.04561537042859907,3.8676644e-05,-0.00016210612,[129.19921875],-189.78697,125.363235,3.612861,27.146473,11.324843,11.258348,0.23974009,7.8154345,-0.92971754,1.1894315,0.61352265,-0.21567486,1.7622777,1.466779,-0.46932516,0.6245114,-1.9940106,5.133909,-0.53953,2.0382662,1
